name,scn_name,v_nom,carrier,x,y,country,control,generator
70821,eGon2035,1.0,central_heat,7.113198736523565,49.596697560748936,DE,Slack,70821 central_biomass_CHP_heat
70824,eGon2035,1.0,central_heat,12.683075381047157,51.09938192540463,DE,Slack,70824 central_biomass_CHP_heat
70825,eGon2035,1.0,central_heat,6.974904184324997,51.167871133469404,DE,Slack,70825 central_biomass_CHP_heat
70826,eGon2035,1.0,central_heat,8.457927305417705,51.948575725787336,DE,Slack,70826 central_biomass_CHP_heat
70827,eGon2035,1.0,central_heat,8.597996523718045,53.15664673729688,DE,Slack,70827 central_biomass_CHP_heat
70828,eGon2035,1.0,central_heat,10.528111071071638,52.18480395564783,DE,Slack,70828 central_biomass_CHP_heat
70829,eGon2035,1.0,central_heat,13.524786730492716,52.32486908991065,DE,Slack,70829 central_biomass_CHP_heat
70830,eGon2035,1.0,central_heat,10.154078580792596,53.654860315588806,DE,Slack,70830 central_biomass_CHP_heat
70831,eGon2035,1.0,central_heat,11.702238368982401,53.60199813330236,DE,Slack,70831 central_biomass_CHP_heat
70832,eGon2035,1.0,central_heat,7.452733289195281,53.209986501694715,DE,Slack,70832 central_biomass_CHP_heat
70833,eGon2035,1.0,central_heat,13.421971457854063,53.80457930368246,DE,Slack,70833 central_biomass_CHP_heat
70834,eGon2035,1.0,central_heat,9.547630552996443,54.41157635355023,DE,Slack,70834 central_biomass_CHP_heat
70835,eGon2035,1.0,central_heat_store,10.545171748480284,48.16241288450093,DE,Slack,70835 load shedding
70836,eGon2035,1.0,central_heat_store,8.1023300033675,47.84120577978752,DE,Slack,70836 load shedding
70837,eGon2035,1.0,central_heat_store,12.766362402867609,48.21448837030918,DE,Slack,70837 load shedding
70838,eGon2035,1.0,central_heat_store,8.981197251088261,48.81352063535352,DE,Slack,70838 load shedding
70839,eGon2035,1.0,central_heat_store,12.278123807113802,48.907462171262914,DE,Slack,70839 load shedding
70840,eGon2035,1.0,central_heat_store,8.546530065617707,50.16892058351577,DE,Slack,70840 load shedding
70841,eGon2035,1.0,central_heat_store,11.028974512369803,50.29790299112625,DE,Slack,70841 load shedding
70842,eGon2035,1.0,central_heat_store,7.113198736523565,49.596697560748936,DE,Slack,70842 load shedding
70843,eGon2035,1.0,central_heat_store,12.683075381047157,51.09938192540463,DE,Slack,70843 load shedding
70844,eGon2035,1.0,central_heat_store,6.974904184324997,51.167871133469404,DE,Slack,70844 load shedding
70845,eGon2035,1.0,central_heat_store,8.457927305417705,51.948575725787336,DE,Slack,70845 load shedding
70846,eGon2035,1.0,central_heat_store,8.597996523718045,53.15664673729688,DE,Slack,70846 load shedding
70847,eGon2035,1.0,central_heat_store,10.528111071071638,52.18480395564783,DE,Slack,70847 load shedding
70848,eGon2035,1.0,central_heat_store,13.524786730492716,52.32486908991065,DE,Slack,70848 load shedding
70849,eGon2035,1.0,central_heat_store,10.154078580792596,53.654860315588806,DE,Slack,70849 load shedding
70850,eGon2035,1.0,central_heat_store,11.702238368982401,53.60199813330236,DE,Slack,70850 load shedding
70851,eGon2035,1.0,central_heat_store,7.452733289195281,53.209986501694715,DE,Slack,70851 load shedding
70852,eGon2035,1.0,central_heat_store,13.421971457854063,53.80457930368246,DE,Slack,70852 load shedding
70853,eGon2035,1.0,central_heat_store,9.547630552996443,54.41157635355023,DE,Slack,70853 load shedding
8,eGon2035,380.0,AC,9.1582954,54.2502362,DE,PV,8 biomass
9,eGon2035,380.0,AC,15.238200383770577,49.84255074731976,CZ,PV,9 coal
