name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
66113 rural_heat_store,eGon2035,66113,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,9398.030413996177
66122 rural_heat_store,eGon2035,66122,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,5542.469188847733
67211 rural_heat_store,eGon2035,67211,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,44.19065451047275
67676 rural_heat_store,eGon2035,67676,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,462.7547155682929
69384 rural_heat_store,eGon2035,69384,rural_heat_store,0.0,True,inf,0.0,False,28.2849623779571,267.0140558940081
69914 battery_storage,eGon2035,69914,battery_storage,52691.746,False,inf,41476.21359716035,False,0.0,52691.746
69915 battery_storage,eGon2035,69915,battery_storage,56208.228,False,inf,44056.25410718027,False,0.0,56208.228
69920 battery_storage,eGon2035,69920,battery_storage,77861.368,False,inf,61418.73435572845,False,0.0,77861.368
69924 battery_storage,eGon2035,69924,battery_storage,47132.856,False,inf,37051.195353646726,False,0.0,47132.856
69925 battery_storage,eGon2035,69925,battery_storage,158223.16,False,inf,124497.8201173599,False,0.0,158223.16
69929 battery_storage,eGon2035,69929,battery_storage,21023.418,False,inf,16565.533666996776,False,0.0,21023.418
69931 battery_storage,eGon2035,69931,battery_storage,138570.748,False,inf,109415.35264352064,False,0.0,138570.748
69958 battery_storage,eGon2035,69958,battery_storage,15790.248,False,inf,12461.281698465807,False,0.0,15790.248
69975 battery_storage,eGon2035,69975,battery_storage,51802.65,False,inf,40826.97710774711,False,0.0,51802.65
70054 battery_storage,eGon2035,70054,battery_storage,30472.732,False,inf,23983.866174735867,False,0.0,30472.732
70058 battery_storage,eGon2035,70058,battery_storage,58873.65,False,inf,46572.30785657314,False,0.0,58873.65
70134 battery_storage,eGon2035,70134,battery_storage,43798.464,False,inf,34472.69806687393,False,0.0,43798.464
70154 battery_storage,eGon2035,70154,battery_storage,9603.016,False,inf,7574.545229227522,False,0.0,9603.016
70226 battery_storage,eGon2035,70226,battery_storage,16466.978,False,inf,13015.839716305505,False,0.0,16466.978
70292 battery_storage,eGon2035,70292,battery_storage,47014.884,False,inf,37087.672130931736,False,0.0,47014.884
70310 battery_storage,eGon2035,70310,battery_storage,13575.064,False,inf,10753.724246589043,False,0.0,13575.064
70372 battery_storage,eGon2035,70372,battery_storage,40006.042,False,inf,31631.681354762117,False,0.0,40006.042
70512 battery_storage,eGon2035,70512,battery_storage,25578.184,False,inf,20154.34775736798,False,0.0,25578.184
70797 battery_storage,eGon2035,70797,battery_storage,8471.368,False,inf,6657.999544001138,False,0.0,8471.368
76818 battery_storage,eGon2035,76818,battery_storage,926.916,False,inf,726.0866114741909,False,0.0,926.916
76942 battery_storage,eGon2035,76942,battery_storage,1273.618,False,inf,999.8696989603554,False,0.0,1273.618
77068 battery_storage,eGon2035,77068,battery_storage,79.542,False,inf,62.774724577501416,False,0.0,79.542
77069 CH4,eGon2035,77069,CH4,264722068.94267517,False,inf,0.0,True,0.0,264722068.94267517
77083 H2_overground,eGon2035,77083,H2_overground,0.0,True,inf,0.0,True,44.88727243648892,201402.51065659913
77110 central_heat_store,eGon2035,77110,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1091.0715042583606
