,161 ramp_up,165 ramp_up,174 ramp_up,177 ramp_up,178 ramp_up,179 ramp_up,183 ramp_up,186 ramp_up,187 ramp_up,191 ramp_up,196 ramp_up,198 ramp_up,279 ramp_up,288 ramp_up,291 ramp_up,294 ramp_up,297 ramp_up,300 ramp_up,309 ramp_up,316 ramp_up,319 ramp_up
10,104.89218533618259,104.89227920269514,104.89218726821127,104.89217520014608,104.89219079006762,104.89219079006762,104.89219314516231,141.1520876643499,141.1520876643499,104.8923195462994,104.89213604876386,104.89079222398868,104.89218585144408,104.89218585144408,104.89218585144408,104.89218585144408,104.89218585144408,104.89218585144408,104.89218585144408,104.89218585144408,104.89218585144408
11,141.14179403214075,141.14187454797866,141.14178619316226,141.14179333936227,143.5599453073355,143.5599453073355,141.14177256561743,141.1519779888713,141.1519779888713,141.14184137988195,141.14178918828293,143.5686520760264,141.1418054740643,141.1418054740643,141.1418054740643,141.1418054740643,141.1418054740643,141.1418054740643,141.1418054740643,141.1418054740643,141.1418054740643
12,141.1403795852384,141.14047670487162,141.14032338315883,141.14037403443217,143.56746542783367,143.56746542783367,141.14040032080993,141.15119570808747,141.15119570808747,141.14049044523563,141.14038208131933,143.57671343766924,141.14040385890257,141.14040385890257,141.14040385890257,141.14040385890257,141.14040385890257,141.14040385890257,141.14040385890257,141.14040385890257,141.14040385890257
13,141.14212516034604,141.14225639092,141.1421549944207,141.1421208553802,143.56686170476314,143.56686170476314,141.1421307897399,141.15222193433874,141.15222193433874,141.14224841801843,141.14212195181608,143.57689433244195,141.1421248187471,141.1421248187471,141.1421248187471,141.1421248187471,141.1421248187471,141.1421248187471,141.1421248187471,141.1421248187471,141.1421248187471
14,141.14100290141505,141.14143208756104,141.14102313044714,141.14099855874701,141.14108169422434,141.14108169422434,141.141046107261,141.1520057404814,141.1520057404814,141.1413606303031,141.1409908971582,141.15033016918096,141.14100711805804,141.14100711805804,141.14100711805804,141.14100711805804,141.14100711805804,141.14100711805804,141.14100711805804,141.14100711805804,141.14100711805804
15,100.70479796953441,100.70483158766365,100.70480031317857,100.704796285263,100.70479735858316,100.70479735858316,100.70480632791987,100.71569902552983,100.71569902552983,100.70482693898703,100.70474896809719,100.70580764136866,100.70479659551347,100.70479659551347,100.70479659551347,100.70479659551347,100.70479659551347,100.70479659551347,100.70479659551347,100.70479659551347,100.70479659551347
16,104.89995933358296,104.8999589699979,104.89997479386511,104.8999607998685,104.89996114858513,104.89996114858513,104.89996129266547,104.91010306334465,104.91010306334465,104.89994237001883,104.89993813764158,104.90890118773495,104.8999586233549,104.8999586233549,104.8999586233549,104.8999586233549,104.8999586233549,104.8999586233549,104.8999586233549,104.8999586233549,104.8999586233549
17,51.03752231300314,51.03753105193937,51.037523322418565,51.037536520272624,51.03755356106922,51.03755356106922,51.03753340662297,51.04767596806232,51.04767596806232,51.03751422635105,51.03751977032516,51.047157891078314,51.03753497467551,51.03753497467551,51.03753497467551,51.03753497467551,51.03753497467551,51.03753497467551,51.03753497467551,51.03753497467551,51.03753497467551
18,53.164042109114234,53.16404202644662,53.164042349475494,53.1640424260695,53.16402303949326,53.16402303949326,53.16404714960845,53.174179478661245,53.174179478661245,53.16400588062061,53.16402654806552,53.17156409577001,53.164035768815666,53.164035768815666,53.164035768815666,53.164035768815666,53.164035768815666,53.164035768815666,53.164035768815666,53.164035768815666,53.164035768815666
19,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
20,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
21,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
22,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
23,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,101.87221464644426,101.87221464644426,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
24,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,101.87214323066837,101.87214323066837,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
25,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,76.40412299017044,76.40412299017044,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
26,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,76.41826552569546,76.41826552569546,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
27,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,101.87196061149734,101.87196061149734,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
28,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15209356383275,141.15209356383275,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
29,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,141.15187642245291,141.15187642245291,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
30,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
31,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
32,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
33,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715
