,0 battery,0 pumped_hydro,1 battery,10 battery,11 battery,12 battery,12 pumped_hydro,13 battery,13 pumped_hydro,14 battery,14 pumped_hydro,15 battery,15 pumped_hydro,16 battery,17 battery,18 battery,19 battery,2 battery,20 battery,20 pumped_hydro,21 battery,22 battery,22 pumped_hydro,23 battery,23 pumped_hydro,24 battery,24 pumped_hydro,25 battery,25 pumped_hydro,26 battery,26 pumped_hydro,27 battery,28 battery,29 battery,29 pumped_hydro,3 battery,3 pumped_hydro,31613 battery,31638 battery,31672 battery,4 battery,4 pumped_hydro,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery,8 pumped_hydro,9 battery,9 pumped_hydro
10,6508.045670326179,959.9966846938859,12150.121106683968,1362.9562526748903,2220.7121221157936,2052.8049008558473,2351.996558555201,15660.921541003056,1931.9963127149472,8099.98239210658,8369.985904721396,5833.731711981273,6509.996369979967,0.49172064426328405,4613.21953750628,5681.017380524244,2533.83180322471,15738.044411630044,15007.76224541748,1817.9964705383532,3240.9334189923356,6959.540715758024,1139.99610008407,2062.9435565415233,3749.9968321097103,5669.602405082052,11946.595563691022,6804.758753819833,1319.997513423815,2848.352820327982,5459.995468110162,1068.3415155942107,28361.14888496274,9818.707400962736,167.99716348776246,62594.800125025926,10799.993506823092,121.7356608430854,249.72403963703223,30.991685274339773,3703.4982908539746,4650.493316022732,3749.9972839952543,7938.59587137223,3818.1392365727415,714.5972885737058,2027.2255430263035,28313.993702177406,8022.026929371033,4125.5963785395525
11,3946.014919536816,525.4507251133085,10063.940520921551,940.6112035867168,1233.4472630071955,1175.8905381438408,1300.5391484646843,10318.266464481758,1035.95509915503,5293.347922794293,5426.95566175219,3537.1385186207876,4086.227992116611,0.40727961359749265,689.7207283427656,3746.912598090692,1664.9938839981176,12711.507308898621,10022.284279360803,975.24992568424,1845.9682312851724,4072.3072832935645,616.2339783063339,1184.427236811267,2130.638285445401,3411.5027509355778,8275.255187454464,6192.730387371526,1104.9549976430505,1542.7952744660492,3146.7443861760344,761.8292687774866,25864.169777867162,6128.200609755998,97.6492311390786,50567.59656526098,7052.068750965597,76.41746897627947,150.57895402388687,20.873425556504543,2993.7038037673487,3572.695034378195,2379.823186885059,5820.63067827287,2549.896984992699,437.22605344883243,1057.0421799768005,22559.671747236247,5323.6763331479115,2516.533961104149
12,3733.5360821824806,427.8052012329922,9968.89944381168,482.483089579826,1091.8334964984347,982.0056906464466,1184.7367729743594,10130.081022605984,936.4627929653194,5206.9559425631,5314.366019498531,2935.505625838588,3725.735507130251,0.2882747734937321,17.189328352559897,2632.2876952290103,1597.4667625809823,12637.383573376683,9881.153273307867,900.9399023904962,1642.2416257344223,3884.884043579743,524.0222440563824,987.9821465936686,2014.1000003721758,3111.1878498583455,8077.784128890682,743.3391105170687,206.44533792745037,1378.4466823579803,3041.5794478351113,357.71957914842056,25740.346982060535,5919.233240866419,64.35923430536967,50419.37572627813,6932.573073189614,42.32615136411333,88.65160756704276,10.226813845947515,2773.5813485845183,3111.407632368581,2168.359368584749,5557.677690724128,1629.77111090914,257.9641266476619,895.9313656656356,22391.06678372489,5171.365388198024,2355.183791811416
13,0.01740994463798446,0.024432301190946484,5898.487181587092,0.005653704400294978,0.042424546902173815,0.019763174513227982,0.025922054408140095,0.02444760056093142,0.049471580005587185,0.10487763284379155,0.12598223498960381,0.00816412575194908,0.00811210882141282,0.022257866375878826,0.0045972251926183205,0.0067045663988547916,803.6516841918591,4862.700729824025,0.10848655940305457,0.16672350491735177,0.018051805871859398,0.02056567148428964,0.04395435770786502,0.018299634777356227,0.025653811681930955,0.012971304058206793,0.012687279970770675,0.00588442406235264,0.0035772196946067354,0.04165136020913697,0.07502569917670011,0.0054866335582046425,23984.15582709395,0.020511478714056154,0.02855468177354785,0.03628465374961167,0.09041999138678065,0.015596834893012277,0.016118199079975276,0.016291490305723855,0.02412884227421177,0.1998481294934921,0.005997778994053928,0.0084273381854227,0.006289296257946338,0.005654974597607514,0.021822631931445607,0.05410161687115903,0.01019646666515518,0.01000955355536252
14,0.2817375445898425,0.03165123814876418,0.03338615344297802,46.739683200233905,1.3670721926237546,0.25359333730789957,0.032538333336431705,0.18726664610443633,0.04768507131843862,0.0969121843894377,0.08439026724619907,198.55944514185455,0.035342909491373455,0.4364085715517536,3766.2686645730464,193.44929274677602,0.003482225699112012,0.0066357346533878,0.23795715240718865,0.13299835184568573,2.7504034972355087,0.16196791147657727,0.04309094582690834,0.6348139290818102,0.032543725391548546,192.37915371024704,0.030242724684721653,3873.1484145233017,789.7991100874211,0.11743660409359659,0.06626530129758673,36.981843610269216,17251.467590746113,0.21851309440950045,0.030575878688679514,0.07654850961889423,0.08060421901780634,0.2925851819451487,0.29150894132864447,0.23320922538886302,0.6002124562514335,0.18015921411749544,127.62157325436317,0.03414043975932164,3117.0423333046188,0.04819324035954343,0.15737626371594,0.04920178672898584,272.49646128847525,0.025891211191563054
15,5313.576937039224,0.032508482603564676,0.08893398497227495,1159.1517243247542,0.7067227632689423,1675.8518116881203,0.03277343488147412,1.3106994539711714,0.04176151458938837,6613.309442616444,0.06944543193166647,4961.536082296635,0.04599359993740781,0.05449237458228358,3923.544300184272,4831.701103666664,1929.8549183764746,12850.039810190432,0.3277709612159333,0.09977305262614203,2.8750469873412525,5.462215176357199,0.03902695525553664,3.113824893147356,0.03150856886120755,4821.399751696608,0.03704708421735721,5787.969018486748,1269.7683058836662,1.146978245939765,0.05643814627724503,908.5963215899261,11646.000948100902,8004.7217216963,0.029161911043713164,13779.32777298896,0.07426318006281465,99.21703409488832,203.68641461874407,25.08219398997909,0.08762020758182448,0.08854467458274283,3189.3270343773797,0.04507876438823147,3247.303272019208,0.059494672573553925,7.240753959277896,0.04666996317226538,6822.229703017461,0.031239008280130452
16,0.004734929815940019,0.0022681232951737677,0.0035343034646578026,0.008421048604351418,0.00443996687246174,0.004903875799877867,0.0025910016089253293,0.004537689087243185,0.002499453660013848,0.0029429779596757836,0.0031241362764303504,0.006490532269355586,0.004482913236067383,0.001961478069589207,0.004683256200677275,0.007564331910122315,0.00348277969761906,0.00444091828394198,0.0038396236372827976,0.00225683951872048,0.0038436245121953477,0.004405164940820331,0.0023057784312117114,0.0044282790924427134,0.002721284467753081,0.005206783609984824,0.003923082473671003,0.4688568818806781,0.029113949652130454,0.00411416013071016,0.002735856774166342,0.011781801922407248,0.0039063519093040355,0.004745973746060814,0.002578428130136042,0.00460849961217725,0.0038299872513818133,0.003771329833063217,0.004323258923641604,0.004161574778137766,0.0041633772140608795,0.004741741689446129,0.0034441283029390656,0.00452729335509785,0.006006272144545675,0.004171250779133976,0.003946920003546617,0.0044333845207302075,0.0035860829683942433,0.0033068947484110583
17,5132.9902731936645,0.06444544458260873,1011.8443346803042,131.27058713852577,699.8770420838656,1343.3097861477443,0.06779650711882479,3220.573193284029,0.07045454115244915,1314.1764190397896,0.08081290677604216,2704.1950235635873,0.07923759678096146,423.90771486332403,42.73234742189311,292.340665275362,48.28563751272272,47.84781049228694,7505.813290728048,0.07034691969511242,218.59817987846654,4505.3054302700775,0.06735331550789014,96.60808082867304,0.07077758447209245,4579.434128644931,0.08503468365119422,53.207326512583094,0.07345315764760482,1419.952506561334,0.07540429996042036,86.83798924382573,22046.13862381481,7579.203571995787,0.06087098531907667,9201.09066136808,0.09012204068462742,67.85113892300089,134.59021475776268,14.080418055854045,1904.0779636429145,0.10532823579986517,231.57943978967873,0.07871343057381555,78.02884126823814,0.06659341308199965,1094.3324691293155,0.1074173859292469,2233.927364184027,0.0716106030759796
18,0.01701565948364205,0.008435594717529773,0.012789493150430918,0.01632204239399599,0.017377744817381816,0.016984326049994662,0.009428109729292415,0.016940478551611012,0.009837674942212975,0.011932249055488588,0.012453002887537494,0.017226433728232016,0.011111756228116247,0.008661168275508759,0.009913234788718302,0.017250489719802843,0.009108091127801176,0.011587227060213213,0.0169601903136058,0.00980840839737986,0.015286108939991936,0.015767296897542502,0.009105469054412734,0.017254700995446272,0.01013574648110046,0.017219922884983238,0.011665977948525984,0.017374144411096568,0.009340572674561365,0.016714981425495455,0.010851925111983437,0.016669685029923723,0.01885692803034419,0.016202811209884052,0.008467681250268037,0.017466464626624816,0.01457005669203218,0.013405590194086353,0.01470364998542217,0.009709849518735325,0.013633064140705073,0.015741332070211632,0.009612698421361155,0.011219415666925763,0.015214059560622809,0.008555887017480383,0.011987148517114488,0.014203601031350885,0.01079430477610847,0.010273970783896618
19,0.5001848974042423,0.2235914719132026,0.15456349158345378,0.7105107780210196,0.09231935772300123,0.4517915917247324,0.2340797980537687,0.5873889899442293,0.2628570154937993,0.12845150608209685,0.12835690826719007,0.6357547180475833,0.32517545489174127,0.12820425366192686,0.09878283736652924,0.6889666858401594,0.09519269831770037,0.12228485119464981,0.36946819542815473,0.1902687593960687,0.19699011891160445,0.41684353828117215,0.22039695632446427,0.4936350513215444,0.2422111468747183,0.5584766091688258,0.3162724741056945,1.2550149247872393,0.39850280513099623,98.0849507310838,2.5592421491364394,0.8313820912003343,0.4165546990790362,0.43593736852632936,0.20356735450479774,0.31252362842346826,0.24298468482169616,0.41212685262502097,0.4510598721639615,0.2951313596881997,0.20645617408571995,0.24696123468654496,0.3403348304731097,0.31856172884075695,0.16986738501568804,0.0869267951259537,0.36188255793482976,0.30858714979026464,0.3331596207100294,0.27493459240833773
20,5296.69945460721,0.5028929154680133,0.1422176740784675,654.3174910435904,0.6946482872648775,188.24458152806216,0.4964929579115017,12784.354118961708,0.6203411149045404,0.04005333487297057,0.08255892157805492,2194.516618729878,0.5106817391891421,325.2420523973471,3302.9119946374017,2172.4674485962373,1521.5253065442769,12142.660876070953,1.29997291419646,0.38313107580556394,2646.083769356212,103.14205702396349,0.504490977291938,2.1983749273660975,0.3724500911716527,1155.3532074118543,0.4898710602046828,1960.775401398936,0.5126438135867095,2422.244580391887,3942.1456008503,509.3205300277959,0.8180503128550287,7993.069636024976,0.5587298714350832,0.5419562580082224,0.32467639024997985,83.98634879273048,180.7484385631426,15.994906780410975,2136.001320238432,1940.9938403392666,2652.625449897858,0.49220347832138533,2688.9870788289754,1.3254538588498896,6.317208693052848,0.4710183575826506,6290.658695150977,0.49716888013489974
21,0.09534597986387881,0.05269936986392031,0.1295502186830836,0.08461085609267947,0.0947771329803767,0.07901376301352868,0.05187080897183896,0.08767787429767841,0.053492302795316145,1156.2402091702875,1519.5366367851298,0.10241426636663101,0.048778973265387424,627.2661249883681,0.14503172043100393,0.10251790651704341,0.13984788335010423,0.15884539732990063,0.09836548166673763,0.06465888673747863,0.14355702823690053,0.08831803769105276,0.05774245854748076,0.09218770517970507,0.049344868400726334,0.09919008177901785,0.057807489243782144,0.09752684483422214,0.046999871012482146,0.09628479957040986,0.038393903846153904,0.08065446017900285,0.12862327415509883,0.08408251530001064,0.048261894226156676,0.16864380620978467,0.0840187009775787,0.06227509349676719,0.07277163408157941,0.057410805250300644,19186.32535643268,15227.235642842541,0.04630148117145816,0.053739943512391024,0.26277203170213337,0.1322627161805625,0.08929605138285487,0.0829211337283903,0.05560230205758371,0.05131520129031742
22,5153.7865517046075,116.90939257190979,2369.2623051818273,46.93277880955554,56.70959396202979,1572.6846599917383,744.9367516946803,448.9391041148807,41.46482359127894,2004.512934881116,2562.947114578515,24.56877142085708,9.89042794612855,1025.1286474822032,20.454717896662533,33.12502171322895,20.85963909790059,24.583281384897465,236.522876644097,114.35852721060394,16.627890526057268,5042.35111968543,84.30667406005563,125.39636761194569,21.16331939843571,52.12621276514169,16.68153801649448,90.07600286573103,16.744283132232077,360.8941233676362,80.35379552400684,45.95786605271434,10464.841475285573,7820.5097750885025,41.620056942232836,5228.608147031895,1340.780345534293,51.35656784295951,121.90354993440224,9.514856530554967,28668.87278218819,24023.997993027555,3030.345655525221,135.70645601107958,36.08548927900807,14.383237683907335,1189.1933385371142,296.53011705790937,6542.554563581327,2969.79975680979
23,69.99845947791053,117.8490786164268,12118.442207789594,5.312433301802648,23.285111124627676,294.6711890227653,743.9027075770705,34.91412473057068,43.052052721605925,8048.820311585008,8271.71052228982,8.106994131465925,4.439985798696839,490.5028331129854,3.8998051200014254,7.322002614559658,3.7555550726781473,6.33892378186295,141.3837537716472,174.79144482368548,26.74269793484294,64.39537826509616,92.69785333641468,14.764294506840622,10.671833964744193,11.275633387651268,8.566633770210728,4.926808862282643,2.459504623105631,120.4517471571455,110.98456469025534,4.412718656166522,22023.99417881703,101.11631364566136,45.8920370459853,5157.549752794669,1470.3235237057938,20.520585283148534,28.67704295864517,11.571887853572115,10861.583302720093,9472.557232137398,2.7435859785641665,3.471296054790747,6.638061144504903,4.061474857945052,72.85229117602069,348.33468831318623,6685.9128884460315,3152.4487630260764
24,5306.775994303343,763.6813371013359,7500.269266824014,262.6377164823397,1595.5629435444264,1888.1160620219239,2316.1556221932515,12207.679835132922,1186.560040062501,6788.568211136278,8268.765947918662,1163.0229211645956,1864.5504475421687,0.0013201781731665687,921.9876281204848,1077.9899432962723,543.9450600781729,2979.0055358620425,8104.8980264276415,973.5578497460642,843.5292988961401,5578.32831824016,828.347186093776,495.6142280518805,1092.7910711949473,1232.7039194192048,3403.1923768605893,14.878194080066455,8.797119062133996,1532.4072710031824,2823.6414007998324,7.061512597118737,24603.969986403696,8027.586816810427,124.51979893179377,55650.715539786695,8833.19780080921,82.05480419893652,171.5295213183107,20.89142819684212,0.0016203969562577443,0.0016193430804327812,0.575972252123649,0.734972391743837,822.203958610339,250.820767327771,1549.8673610517103,20704.584162496278,8009.61378449894,4121.822212225772
25,6507.955593970089,959.9301897004915,12150.067615097149,1362.1086739596553,2220.632392093393,2052.724898806522,2351.933052486628,15660.837581345995,1931.9302631961846,8099.929016379218,8369.928895230287,5833.524183155816,6509.852736229717,497.20758699879815,4613.022456572696,5680.739765973793,2533.5995178627727,15737.747565018919,15007.69856198814,1817.941141143457,3240.847252639144,6959.464795064889,1139.9284556681307,2062.8565593742323,3749.9242443800104,5669.4877916880605,11946.499340121483,1249.3223707007048,367.66951245638245,2848.267137838831,5459.939379317725,480.55501430408765,28361.07748152746,9818.627248028593,167.941541913867,62594.70157135558,10799.889247738774,121.65072561027355,249.6190551928239,30.920770934703764,21605.58021643635,14531.558680415821,688.3934415828917,2210.4300621559637,3817.916031889734,714.4321943538841,2027.1523993370827,28313.912798802434,8021.960415656528,4125.533094070912
26,6507.8563252627455,959.8201565707251,12150.022348436487,1362.8815391020505,2220.5564806012494,2052.5306630855407,2351.728160501776,15660.68468308696,1931.7765212232157,8099.921790262369,8369.936434812907,5833.604972209178,6509.886541233265,945.889210569135,4613.159466660954,5680.911631607556,2533.777455388218,15714.379548518336,15007.564830017414,1817.779773818365,3240.8082454106143,6959.009967109136,1139.637921424075,2062.813194887264,3749.862450399115,5669.46323311453,11946.435869362807,6804.688379547874,1319.945745431089,2848.1125699927247,5459.754261426899,1068.2831120579503,28360.85414162464,9818.427612638288,167.75084570956625,9627.409452116844,2834.624878279536,121.54192031998983,249.48872502259374,30.834968069801363,26663.213000272885,16176.946276223787,3749.8074478840845,7938.352327988531,3818.065247441724,714.5326282817724,373.18654375765925,28312.01213519652,8021.811377606351,4125.305608167513
27,991.6570019210575,958.1665002455632,1816.4787143208082,1075.0204852077259,333.09800297244163,2050.3796996456863,2351.1365801224447,15655.358921159006,1931.1023999517283,1210.9377422562034,318.0000667255428,891.809309145552,1812.9613791964039,946.8283271990366,955.3753534540327,850.6225131944775,672.1232024010726,15721.145041123717,3007.357240115292,1773.451724410136,496.52665572445795,6958.4812755007,1139.4708849692372,2058.143701640551,3748.1807102897305,4444.066867176611,10996.909471288394,3979.430540710475,793.2018121278408,2521.2068057785195,5458.051445952263,196.7835233746819,28357.960512137168,9809.63131069318,167.17919571173158,60735.66041020209,10628.665892354904,36.30538953176762,63.45703090549338,12.89823447744677,26664.22984967179,16179.603760465026,3189.6001712727475,7641.5410285855705,729.3700837587514,216.81929796520058,2026.7669621757545,28312.640519656008,1332.2482317544593,4123.366097833087
