name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
54,eGon2035,16,4,DC,500.0,True,inf,548.4588472669811,310.4723882783535,,1.0,500.0,-1.0,0.010246461947654868,1942.6876871970803,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
55,eGon2035,17,19,DC,600.0,True,2400.0,406.3432734770231,168.37927618101847,,1.0,600.0,-1.0,0.00910228999189938,2399.9978173112863,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
56,eGon2035,17,2,DC,850.0,True,3400.0,951.79447464285,705.9106058086279,,1.0,850.0,-1.0,0.010534828551279539,1253.223901354679,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
57,eGon2035,17,4,DC,0.0,True,0.0,2480.175497842263,810.1641263072428,,1.0,0.0,-1.0,0.010383478690140533,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
58,eGon2035,17,5,DC,940.0,True,3760.0,1104.2204996209666,558.5259724769619,,1.0,940.0,-1.0,0.009122941939948524,940.0033825981681,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
59,eGon2035,18,43546,dsm,440.08951534933175,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,440.08951534933175,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
60,eGon2035,18,48653,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.10027354201317654,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
61,eGon2035,18,52058,rural_heat_pump,2166.938508985592,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2166.938508985592,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
62,eGon2035,18,69915,BEV_charger,4204.949666470289,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,4204.949666470289,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
63,eGon2035,18,77083,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.21439395424118798,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
64,eGon2035,18,77102,central_heat_pump,226.8456679320398,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,226.8456679320398,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
65,eGon2035,18,77102,central_resistive_heater,274.1044669508484,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,274.1044669508484,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
66,eGon2035,2,6,DC,600.0,True,2400.0,1523.503082414779,1099.7655712561213,,1.0,600.0,-1.0,0.01026030450633768,600.0010914534876,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
67,eGon2035,2,7,DC,600.0,True,2400.0,5603.996122812265,905.0468508957115,,1.0,600.0,-1.0,0.0,600.0000302647273,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
68,eGon2035,20,43544,dsm,853.3159961509704,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,853.3159961509704,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
