name,bus0,bus1,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,geom,s_nom_mod
6618,11319,11318,AC,2.6701917,0.7720344499999999,0.0,8.455601e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,3.642506003698987,14.122492674816906,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff44c40>,0.0
6619,11320,11318,AC,2.7971933,0.80875795,0.0,8.8577808e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,3.8166725547612335,14.797760152503118,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85be929b0>,0.0
15670,11337,11290,AC,2.0161262,0.58292597,0.0,6.3843956e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.754138727529872,10.678171557019194,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85dbdf190>,0.0
6445,11421,11420,AC,0.28947072,0.083695095,0.0,9.1665728e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.39483515663413105,1.5308297643609048,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d3140d0>,0.0
15717,11474,11473,AC,1.2927761,0.37378230999999995,0.0,1.02344825e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.8834746088203949,3.425351579045423,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a2860b0>,0.0
15705,11476,11433,AC,0.0419514865,0.012129524,0.0,1.32846384e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.05738625538431858,0.2224943405658653,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce4b760>,0.0
6666,11476,11473,AC,0.03344803,0.0096708887,0.0,2.6479761e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.022877284639734242,0.08869835339083974,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce4b220>,0.0
24843,11478,11474,AC,0.2314782937499012,0.06692752,0.0,2.9320526400000002e-05,1040.0,True,1040.0,1554.6888048738242,1.0,0,40,0.632391941916956,2.4518698276038573,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa860942a70>,0.0
15738,11510,11509,AC,9.1908817,2.6573778,0.0,7.2761172e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,6.269830400317931,24.308987771307912,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85b64f910>,0.0
6676,11517,11513,AC,0.297913495,0.08613627,0.0,9.4339344e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.40730355991888584,1.579171464793738,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d376770>,0.0
